Welcome to the TCI,Välkommen till TCI
Instructions for the test,Instruktioner för testet
Start the test,Börja testet
Thank you for completing the test.,Tack för att du avslutat testet.
"<p>Your provider has received your results and will help you interpret them. The professional interpretation of the TCI will help you better understand the interactions between the different aspects of your personality.</p><p><a href=https://anthropedia.org/tci/>Learn more about the TCI</a> and ways to <a href=https://anthropedia.org/learn-more/>improve your personality</a>.</p>","<p> Din leverantör har fått dina resultat och hjälper dig att tolka dem.
     Den professionella tolkningen av TCI hjälper dig att förstå
     Samspelet mellan de olika aspekterna av din personlighet. </ p>
   <p> <a href=https://anthropedia.org/tci/> Läs mer om TCI </a> och
     sätt att <a href=https://anthropedia.org/learn-more/> förbättra din personlighet </a>. </p>"
Definitely False,Definitivt falskt
Mostly or Probably False,Mest eller Förmodligen Falskt
"Neither True nor False, or About the Same",Varken sant eller falskt eller om detsamma
Mostly or Probably True,För det mesta eller sannolikt sant
Definitely True,Definitivt sant
,
"I often try new things just for fun or thrills, even if most people think it is a waste of time.","Jag försöker ofta nya saker bara för skojs skull eller spänning, även om de flesta tycker att det är slöseri med tid."
"I usually am confident that everything will go well, even in situations that worry most people.","Jag är vanligtvis övertygad om att allt kommer att gå bra, även i situationer som oroar sig för de flesta."
I often feel that I am the victim of circumstances.,Jag känner ofta att jag är offer för omständigheter.
"I can usually accept other people as they are, even when they are very different from me.","Jag kan vanligtvis acceptera andra människor som de är, även om de är väldigt olika från mig."
I like a challenge better than easy jobs.,Jag gillar en utmaning bättre än enkla jobb.
Often I feel that my life has little purpose or meaning.,Ofta känner jag att mitt liv har liten mening eller mening.
I like to help find a solution to problems so that everyone comes out ahead.,Jag tycker om att hjälpa till att hitta en lösning på problem så att alla kommer framåt.
I am usually eager to get going on any job I have to do.,Jag är vanligtvis angelägen om att få igång något jobb jag måste göra.
"I often feel tense and worried in unfamiliar situations, even when others feel there is little to worry about.","Jag känner mig ofta spänd och orolig i okända situationer, även när andra känner att det inte finns något att oroa sig för."
I often do things based on how I feel at the moment without thinking about how they were done in the past.,Jag gör ofta saker utifrån hur jag känner just nu utan att tänka på hur de gjordes tidigare.
I usually do things my own way -- rather than giving in to the wishes of other people.,Jag gör vanligtvis saker mitt eget sätt - snarare än att ge in till andra människors önskningar.
I often feel a strong sense of unity with all the things around me.,Jag känner ofta en stark känsla av enhet med alla saker runt mig.
